Applicant Id,專利數量
50781,1490
60227,934
60702,874
58481,811
60544,754
60414,615
51730,597
60647,586
60557,546
60034,531
60613,467
50866,455
60537,366
60699,361
57443,361
58549,320
60626,316
40261,307
57539,307
59832,298
60517,285
50900,264
60551,259
60721,259
60657,233
59567,233
56320,230
60578,225
45795,217
56481,209
60407,198
60015,190
41888,189
58131,183
60147,182
59801,181
60703,178
58602,176
57458,166
50435,156
45539,155
60484,149
51906,144
59328,144
48515,140
52375,133
60632,132
60603,131
59548,131
51355,130
52882,123
60340,122
52762,119
60411,108
45228,107
57414,106
42622,105
52202,102
53518,100
59895,99
60330,97
55401,96
59048,96
59608,93
60369,91
60337,91
45806,91
60324,90
48384,87
27550,87
46161,85
42199,84
54835,84
58494,83
60538,83
55526,80
52955,79
54226,79
57761,78
47071,78
50433,78
51201,77
54839,76
49706,76
58471,76
54509,75
58349,75
60085,75
59363,73
40497,72
59758,72
60720,71
43974,71
60708,69
17074,69
52014,68
51094,68
49833,68
58717,67
47202,66
51268,66
59486,66
42983,66
51930,65
60719,64
60712,64
41728,64
57052,63
60003,63
59277,63
56242,61
60465,61
56232,61
55570,61
42591,60
50860,60
33063,59
24394,59
60201,58
60686,58
42696,57
59542,57
48498,57
34074,57
60672,56
60437,56
57988,56
58872,55
50259,55
60433,55
47417,55
60487,54
49152,54
46478,53
50958,53
60471,52
55166,52
55761,52
53574,52
59375,51
55015,51
46609,51
59643,51
60685,50
54218,50
60713,50
50685,50
60717,49
28006,49
49787,49
58986,49
56455,48
52472,48
60274,48
57179,48
60549,47
46391,47
40113,47
50785,46
60468,46
51657,46
54866,46
36701,46
59426,45
51224,45
58238,45
60021,45
41603,45
28916,45
59064,45
59555,45
47527,44
60125,44
57345,43
22330,43
50218,42
60241,42
60515,41
58800,41
56244,41
46907,41
36667,41
32493,41
52988,41
59732,41
59728,40
50541,40
54184,40
22125,40
60727,40
51676,40
46348,39
48040,39
28349,39
51274,39
60271,39
41504,39
57554,39
60586,39
46149,39
45675,39
59418,39
51716,37
49511,37
56598,37
48237,37
37284,37
56247,37
60199,36
60562,36
60239,36
53127,36
58113,36
52874,35
47806,35
60505,35
48249,35
50273,35
59972,35
60004,35
49387,35
58994,35
60377,35
56034,35
54918,35
56775,34
53964,34
47928,34
23950,34
50707,34
60245,33
53387,33
35498,33
58095,33
54242,33
60724,33
59601,33
52267,33
32441,33
54403,33
59139,33
53221,32
50260,32
53275,32
44215,32
60460,32
57215,32
49492,32
56166,32
49978,32
58598,32
60608,32
47098,31
58058,31
39464,31
47145,31
57502,31
56129,31
27836,30
37388,30
55651,30
50511,30
58891,30
47611,30
60653,30
60642,30
60289,29
58649,29
60446,29
46304,29
57936,29
50518,29
35774,28
41650,28
55832,28
56186,28
8932,28
35906,28
42965,28
57025,28
50445,28
42900,27
24926,27
52217,27
60673,27
58571,27
54882,27
60456,26
52428,26
47955,26
54715,26
56841,26
52207,26
40999,26
42944,26
42675,26
56223,26
49507,26
57874,25
37355,25
57038,25
40690,25
60264,25
52188,25
60577,25
56386,25
52672,25
60547,25
60154,25
44519,25
53450,24
56300,24
56065,24
57877,24
43030,24
57929,24
59545,24
57811,24
41326,24
44270,24
54892,24
46300,24
14353,24
44448,24
56826,24
36592,23
57897,23
52610,23
58200,23
47701,22
47648,22
48475,22
34445,22
52454,22
60222,22
60428,22
47391,22
60633,22
26928,22
32849,22
60711,22
44105,22
50005,22
58275,22
60363,22
44069,21
60714,21
50394,21
58740,21
53834,21
22523,21
47077,21
45710,21
53373,21
43830,21
27513,21
45961,21
32974,21
32604,21
43314,21
54458,21
58434,21
34538,21
38742,21
55934,21
36041,21
52848,21
54638,21
59493,21
34772,20
56105,20
46889,20
40076,20
59084,20
35843,20
54206,20
39651,20
55734,20
31332,20
60704,20
46349,20
54098,20
59672,20
38623,20
16086,20
58970,20
50726,20
45165,20
46709,20
44555,19
41795,19
33623,19
49427,19
57307,19
60036,19
42708,19
52048,19
57706,19
55731,19
50403,19
47185,19
54009,19
46601,19
58910,19
49705,19
40409,19
60513,18
60546,18
53880,18
29383,18
40455,18
44976,18
29241,18
60138,18
48285,18
55542,18
42791,18
60492,18
54887,18
28941,18
32676,18
50294,18
25627,17
47512,17
46145,17
50413,17
56535,17
60318,17
53842,17
24924,17
54905,17
60516,17
59157,17
51475,17
41849,17
22498,17
50753,17
58628,17
51206,17
60284,17
29668,17
59423,17
58042,17
58229,17
58460,17
47792,17
46356,16
42213,16
37128,16
35116,16
54969,16
51697,16
44931,16
12245,16
38370,16
45978,16
60225,16
52811,16
46328,16
60210,16
59127,16
44156,16
55743,16
58183,16
51520,16
59053,15
47815,15
37014,15
49096,15
25192,15
35343,15
47844,15
56862,15
47734,15
42511,15
42701,15
51272,15
20418,15
39054,15
54088,15
46425,15
52536,15
33752,15
51546,15
46722,15
38429,15
45239,15
38043,15
44542,15
45857,15
53058,15
52218,15
58495,15
46747,14
53528,14
30452,14
58404,14
59812,14
60422,14
41507,14
43726,14
38478,14
53410,14
44832,14
19619,14
36924,14
56626,14
53979,14
59284,14
51284,14
60448,14
49627,14
55083,14
58692,14
59364,14
56921,14
56911,14
59899,14
47242,14
55413,14
27265,14
41957,14
54357,14
55124,14
60406,14
49810,14
47005,14
58666,14
38049,13
46854,13
48618,13
12079,13
60228,13
45989,13
60331,13
19476,13
23809,13
58752,13
43662,13
44200,13
60482,13
19314,13
40145,13
55692,13
46940,13
26507,13
41263,13
58059,13
54675,13
52419,13
50309,13
46267,13
50353,13
28531,13
57585,13
55948,13
59773,13
60643,13
51814,13
60665,13
39721,13
57855,13
45510,13
49817,13
43021,13
58271,13
57043,13
21125,13
33619,13
30359,12
29446,12
36213,12
59082,12
56390,12
48240,12
59050,12
24102,12
51541,12
45947,12
33765,12
56684,12
46758,12
57887,12
40088,12
53917,12
44238,12
48733,12
55548,12
20509,12
37231,12
48722,12
42984,12
57078,12
59961,12
58090,12
55426,12
49993,12
44062,12
59897,12
53524,12
52539,12
42885,12
57368,12
57937,12
59711,12
42366,12
60612,12
56638,12
53171,12
43733,12
48809,12
33094,12
43631,12
60635,12
53572,11
56003,11
60600,11
35385,11
40286,11
23816,11
43205,11
54293,11
45778,11
52620,11
31968,11
60527,11
52993,11
60528,11
59321,11
45073,11
48495,11
40033,11
25357,11
54615,11
49598,11
60366,11
54697,11
42449,11
51209,11
56594,11
49743,11
32880,11
55013,11
47813,11
28698,11
46706,11
47803,11
57383,11
43675,11
43832,11
38400,11
56591,11
51310,11
27026,11
60373,11
37629,11
49890,11
60431,11
39430,11
60412,11
56782,11
37949,11
34748,11
57145,11
58573,11
59819,11
44601,11
47587,10
58077,10
47299,10
59342,10
58008,10
33161,10
58706,10
57994,10
59313,10
33359,10
44298,10
47591,10
58049,10
58063,10
43839,10
46337,10
45337,10
26839,10
57794,10
56448,10
46350,10
43310,10
43511,10
46407,10
47983,10
47962,10
30402,10
56293,10
48329,10
59272,10
46485,10
47956,10
32682,10
46666,10
58213,10
45909,10
30536,10
57420,10
32932,10
44977,10
48481,10
33042,10
56664,10
56167,10
31211,10
38884,10
50113,10
40209,10
55969,10
50805,10
22759,10
36123,10
52611,10
49056,10
51154,10
59912,10
23005,10
42762,10
49151,10
55728,10
55189,10
16587,10
53337,10
42512,10
55864,10
21021,10
51216,10
59589,10
60050,10
37972,10
53237,10
55095,10
60031,10
40700,10
51515,10
53224,10
49636,10
51504,10
59473,10
19704,10
37089,10
53803,10
59777,10
53749,10
48785,10
24564,10
55446,10
59451,10
60249,10
59804,10
48638,10
48940,10
24358,10
24797,10
58447,9
48068,9
37766,9
39748,9
56881,9
59837,9
49416,9
43585,9
37842,9
51574,9
33526,9
32246,9
34714,9
55576,9
30462,9
52290,9
34730,9
33566,9
52487,9
21607,9
39371,9
47787,9
29371,9
29362,9
60496,9
46115,9
49675,9
43779,9
47288,9
39368,9
55100,9
34499,9
47425,9
16937,9
55371,9
57537,9
37679,9
57753,9
47201,9
55697,9
21176,9
26452,9
58734,9
44053,9
60202,9
46989,9
42814,9
19035,9
54731,9
56327,9
38139,9
27067,9
53419,9
36141,9
48349,9
30770,9
53576,9
46789,9
56376,9
7537,9
50873,9
46765,9
58108,9
19772,9
35855,9
53742,9
53753,9
35579,9
57380,9
45280,9
57967,9
55463,9
59602,9
46644,9
43430,9
25933,9
46981,9
53994,9
14931,9
55855,9
60629,9
58664,8
50437,8
44385,8
